KEY,NOTES,ENGLISH
CROP.MOISTURE_STATE.WATERED,,This plant has been watered recently and is growing quickly

DEATH_REASON.BURNING,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Burning
DEATH_REASON.CRITICAL_ORGAN_DAMAGE,,Critical organ damage
DEATH_REASON.CRUSHED_BY_FALLING_DEBRIS,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Falling debris
DEATH_REASON.DEHYDRATION,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Dehydration
DEATH_REASON.EXHAUSTION,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Exhaustion
DEATH_REASON.EXTENSIVE_INJURIES,,Extensive injuries
DEATH_REASON.FOOD_POISONING,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Food poisoning
DEATH_REASON.FROZEN,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Exposure to freezing weather
DEATH_REASON.GIVEN_UP_ON_LIFE,,having given up on life
DEATH_REASON.INTERNAL_BLEEDING,,Internal bleeding
DEATH_REASON.STARVATION,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Starvation
DEATH_REASON.SUFFOCATION,,Suffocation
DEATH_REASON.KILLED_BY_ENTITY,,wounds suffered in combat
DEATH_REASON.MURDERED.UNKNOWN_KILLER,,someone
DEATH_REASON.UNKNOWN,,Mysterious circumstances

EARTH.DIRT,,Dirt
EARTH.GRASS,,Grass

ENTITY.DESTRUCTION_DESCRIPTION.BURNED,,Destroyed by fire
ENTITY.DESTRUCTION_DESCRIPTION.OXIDISED,,Destroyed by prolonged exposure to rain
ENTITY.DESTRUCTION_DESCRIPTION.COMBAT_DAMAGE,,Destroyed during combat

FACTION.SETTLEMENT,,Settler
FACTION.WILD_ANIMALS,,Wild Animal
FACTION.MONSTERS,,Monster
FACTION.HOSTILE_INVASION,,Hostile Invader
FACTION.MERCHANTS,,Merchant

FLOOR.CHANNEL.DESCRIPTION,,Irrigation channel ({{state}})
FLOOR.CHANNEL.DESCRIPTION.TOOLTIP,,Irrigation channels provide access to water to crops within 2 tiles. Build a water pump and connect the channels to it using pipes.
FLOOR.CHANNEL.STATE.EMPTY,,Empty
FLOOR.CHANNEL.STATE.FULL,,Full
FLOOR.CHANNEL.STATE.PARTIALLY_FILLED,,Partially-filled
FLOOR.COBBLESTONE,,Cobblestone
FLOOR.DESCRIPTION,,{{floorType.noun}}
FLOOR.DIRT,,Dirt
FLOOR.GRASS,,Grass
FLOOR.GRAVEL,,Gravel
FLOOR.PIPE.DESCRIPTION,,{{material}} pipe ({{state}})
FLOOR.POWER.DESCRIPTION,,{{entity}} - Power available: {{powerAmount}}
FLOOR.RIVER,,River
FLOOR.ROUGH_STONE,,Rough stone floor
FLOOR.SNOW,,Fallen snow
FLOOR.STONE_PAVING,,Stone paving
FLOOR.STONE_SLAB,,Stone slab
FLOOR.TILLED_EARTH,,Tilled earth
FLOOR.UNEXPLORED,Used when the player clicks on an area they have not discovered yet,Unexplored
FLOOR.WOODEN,,Wooden floorboards

FOODSTUFF.ROCKBREAD,This is a made-up fantasy food,Rockbread
FOODSTUFF.ROCKBREAD.TOOLTIP,,This is an infamously tough bread which is so hard and practically inedible that it takes a very long time to turn mouldy. The human explorer J. A. Moffatt once described eating it as “akin to chewing gravel that has been dredged from a swamp”. Fortunately most dwarves don’t seem to mind.
FOODSTUFF.WHEAT-BREAD,"Actually just to describe “wheat” as a foodstuff, not specifically bread",Wheat

FUEL.SACK,,Fuel
FUEL.SACK.TOOLTIP,,"Fuel is required in the production of metal, both by the {{FURNITURE.BLOOMERY_FURNACE}} and the {{FURNITURE.FORGE}}."

FURNITURE.ARCHERY_TARGET,,Archery target
FURNITURE.ARCHERY_TARGET.TOOLTIP,,Military settlers will practice their ranged combat skills here
FURNITURE.ARMOUR_STAND,,Armour stand
FURNITURE.BAKERS_WORKTOP,,Baker’s worktop
FURNITURE.BAKERS_WORKTOP.TOOLTIP,,A {{PROFESSION.CHEF}} works here to turn {{RESOURCE.FLOUR.SACK.PLURAL}} into {{INGREDIENT.DOUGH}}.
FURNITURE.BAKING_OVEN,For the baking of bread,Baker's oven
FURNITURE.BAKING_OVEN.TOOLTIP,,A {{PROFESSION.CHEF}} bakes loaves here using prepared {{INGREDIENT.DOUGH}}.
FURNITURE.BEER_TAPPER,,Beer tapper
FURNITURE.BEER_TAPPER.STATE.BEER_AVAILABLE,,Beer is available
FURNITURE.BEER_TAPPER.STATE.BEER_BARREL_INCOMING,,A beer barrel is on the way
FURNITURE.BEER_TAPPER.STATE.BEER_EXHAUSTED,,The beer has all gone!
FURNITURE.BEER_TAPPER.STATE.IDLE,,Idle (no beer available)
FURNITURE.BEER_TAPPER.TOOLTIP,,This is where fermented {{LIQUID.BEER}} is served from.
FURNITURE.BLOOMERY_FURNACE,A simple type of furnace to smelt metal from ore,Bloomery furnace
FURNITURE.BLOOMERY_FURNACE.TOOLTIP,,A {{PROFESSION.BLACKSMITH}} uses this hand-operated furnace to turn {{RESOURCE.ORE.CRUSHED.PLURAL}} and {{FUEL.SACK}} into {{MATERIAL_TYPE.METAL.ADJECTIVE}} {{RESOURCE.METAL.INGOT.PLURAL}}.
FURNITURE.BONE_CRAFTING_BENCH,,Bone crafting bench
FURNITURE.BONE_CRAFTING_BENCH.TOOLTIP,,This is used to construct items out of bone
FURNITURE.BREW_KETTLE,,Brew kettle
FURNITURE.BREW_KETTLE.TOOLTIP,,This is used to produce the final wort (unfermented beer) using {{VEGETABLE.HOPS}} and wort from the {{FURNITURE.MASH_TUN}}.
FURNITURE.BUTCHERY_WORKTOP,,Butchery worktop
FURNITURE.BUTCHERY_WORKTOP.TOOLTIP,,Fish and animal carcasses are prepared here into usable meat.
FURNITURE.CARPENTRY_WORKBENCH,,Carpentry workbench
FURNITURE.CARPENTRY_WORKBENCH.TOOLTIP,,"Most wooden items and tools are produced here, such as {{PRODUCT.BUCKET.PLURAL}} and {{PRODUCT.BARREL.PLURAL}}."
FURNITURE.CAULDRON,A large metal pot for cooking (common with Halloween),Cauldron
FURNITURE.CAULDRON.TOOLTIP,,A cauldron is used to serve a large quantity of soup to hungry settlers. The soup is produced in a {{ROOMS.KITCHEN}} before being moved to a {{ROOMS.FEASTING_HALL}} for serving.
FURNITURE.CHAIR,,Chair
FURNITURE.CHARCOAL_CLAMP,,Charcoal clamp
FURNITURE.CHARCOAL_CLAMP.TOOLTIP,,"This is a pile of {{RESOURCE.LOGS.PLURAL}} covered with {{MATERIAL_TYPE.EARTH}} and slowly burned to produce {{ORE.CHARCOAL.NOUN}}, which can then be used as {{FUEL.SACK}}."
FURNITURE.COKE_OVEN,,Coke oven
FURNITURE.COKE_OVEN.TOOLTIP,,A coke oven converts {{ORE.BITUMINOUS_COAL.NOUN}} into {{ORE.COKE.NOUN}} so that it can be used as {{FUEL.SACK}}.
FURNITURE.DESCRIPTION,E.g. “Granite stonemason workbench”,{{materialType.adjective}} {{furnitureType.noun}}
FURNITURE.DESCRIPTION.GENERIC_PROGRESS,,Progress to completion: {{progress}}%
FURNITURE.DESCRIPTION.MUSHROOM_INNOCULATION_IN_PROGRESS,,Progress to complete innoculation: {{progress}}%
FURNITURE.DESCRIPTION.SHOCKING_IN_PROGRESS,,Progress: {{progress}}%
FURNITURE.DESCRIPTION.WAITING_FOR_ITEM,,Waiting for {{itemType.noun}}
FURNITURE.DESCRIPTION.WAITING_FOR_LIQUID,,Waiting to be filled
FURNITURE.DESCRIPTION.WAITING_FOR_MUSHROOM_SPAWN,,Waiting to be injected with mushroom spawn
FURNITURE.DOUGH_PROOFING_TABLE,,Dough proofing table
FURNITURE.DOUGH_PROOFING_TABLE.TOOLTIP,,Dough can be taken from {{FURNITURE.BAKERS_WORKTOP}} to store here before entering the {{FURNITURE.BAKING_OVEN}}
FURNITURE.FEASTING_TABLE,A very large table for a feast,Feasting table
FURNITURE.FEASTING_TABLE.TOOLTIP,,"With a {{FURNITURE.CHAIR}} in place, your settlers will enjoy their meals at this table."
FURNITURE.FERMENTATION_TANK,,Fermentation tank
FURNITURE.FERMENTATION_TANK.TOOLTIP,,This is where {{LIQUID.HOPPED_WORT}} is fermented into {{LIQUID.BEER}}.
FURNITURE.FLETCHERS_WORKBENCH,,Fletcher's workbench
FURNITURE.FLETCHERS_WORKBENCH.TOOTIP,,This is a crafting station for ranged weapons and ammunition
FURNITURE.FLOUR_MILL,This is a table with a hand-operated flour mill stone on top,Gristmill
FURNITURE.FLOUR_MILL.TOOLTIP,,The gristmill grinds {{VEGETABLE.WHEAT}} into {{RESOURCE.FLOUR.SACK.NOUN}} so that it can be used by a {{PROFESSION.CHEF}}.
FURNITURE.FORGE,,Forge
FURNITURE.FORGE.TOOLTIP,,This is where a {{PROFESSION.BLACKSMITH}} works with {{MATERIAL_TYPE.METAL.ADJECTIVE}} {{RESOURCE.METAL.INGOT.PLURAL}} and {{FUEL.SACK}} to craft items and weapons.
FURNITURE.GRAVE,,Grave
FURNITURE.GRAVE.TOOLTIP,,A hastily-dug grave for deceased settlers that can only be placed in {{MATERIAL_TYPE.EARTH}}.
FURNITURE.KITCHEN_WORKTOP,Simple piece of furniture in a kitchen used to hold ingredients on top of it,Kitchen worktop
FURNITURE.KITCHEN_WORKTOP.TOOLTIP,,An area to store ingredients for a {{PROFESSION.CHEF}} to cook soup.
FURNITURE.LANTERN,,Lantern
FURNITURE.LANTERN.TOOLTIP,,A lantern provides light – this does not currently have an in-game effect.
FURNITURE.LARGE_TABLE,,Large table
FURNITURE.LEATHERWORKING_STATION,,Leatherworking station
FURNITURE.LEATHERWORKING_STATION.TOOLTIP,,A workbench to produce leather goods like armour and waterskins
FURNITURE.LOOM,,Loom
FURNITURE.MALTING_STATION,,Malting station
FURNITURE.MALTING_STATION.TOOLTIP,,"Here brewers steep barley and then dry it out using a kiln to produce malt. "
FURNITURE.MASH_TUN,,Mash tun
FURNITURE.MASH_TUN.TOOLTIP,,This is used to produce wort (unfermented beer) from milled malt and water.
FURNITURE.MUSHROOM_LOG,,Mushroom log
FURNITURE.MUSHROOM_LOG.TOOLTIP,,"A log that has been injected with {{INGREDIENT.MUSHROOM.SPAWN.PLURAL}} to produce several harvests of delicious, juicy mushrooms."
FURNITURE.MUSHROOM_SHOCK_TANK,This is a trough of water used to immerse mushroom logs in for a period of time,Shock tank
FURNITURE.MUSHROOM_SHOCK_TANK.TOOLTIP,,"After innoculation, a {{FURNITURE.MUSHROOM_LOG}} is placed in this tank to “shock” the mushroom colony and encourage it to grow mushrooms."
FURNITURE.ORE_CRUSHING_STATION,,Ore crushing station
FURNITURE.ORE_CRUSHING_STATION.TOOLTIP,,Raw {{RESOURCE.ORE.UNREFINED.PLURAL}} is crushed to a more workable size so that it can be used in a {{FURNITURE.BLOOMERY_FURNACE}}.
FURNITURE.PILLAR,A pillar used to support a roof,Pillar
FURNITURE.PILLAR.TOOLTIP,,A pillar is required to stop large mined-out areas from collapsing. An area of 7x7 tiles that have been mined without any pillars or other supports in place will eventually collapse.
FURNITURE.RETTING_TANK,,Retting tank
FURNITURE.RETTING_TANK.TOOLTIP,,This is used to process raw {{VEGETABLE.HEMP}} into hemp fibre that can be worked into useful materials.
FURNITURE.SARCOPHAGUS,A stone tomb,Sarcophagus
FURNITURE.SARCOPHAGUS.TOOLTIP,,This elaborate stone container is the final resting place of a deceased settler.
FURNITURE.SERVING_TABLE,A table used to hold food for serving,Serving table
FURNITURE.SERVING_TABLE.TOOLTIP,,{{PRODUCT.BREAD.LOAF.PLURAL}} are placed here for serving after being baked in a {{FURNITURE.BAKING_OVEN}}.
FURNITURE.SINGLE_BED,,Bed
FURNITURE.SINGLE_BED.TOOLTIP,,"A bed is the best place for a comfortable night’s rest. "
FURNITURE.SINGLE_DOOR,,Door
FURNITURE.SINGLE_DOOR_FRAME,,Door frame
FURNITURE.SLEEPING_SPOT,,Sleeping spot
FURNITURE.SLEEPING_SPOT.TOOLTIP,,Your settlers will use this space to sleep on the floor. Not very comfortable!
FURNITURE.SMALL_TABLE,,Small table
FURNITURE.STONEMASON_WORKBENCH,,Stonemason workbench
FURNITURE.STONEMASON_WORKBENCH.TOOLTIP,,A {{PROFESSION.STONEMASON}} works here with {{MATERIAL_TYPE.STONE.ADJECTIVE}} resources.
FURNITURE.STOOL,,Stool
FURNITURE.TANNING_FRAME,,Tanning frame
FURNITURE.TANNING_FRAME.TOOLTIP,,Turn your Animal Skins into Leather.
FURNITURE.TRAINING_DUMMY,,Training dummy
FURNITURE.TRAINING_DUMMY.TOOLTIP,,Military settlers will practice their melee combat skills here
FURNITURE.WATERWHEEL,,Water Wheel
FURNITURE.WATERWHEEL.PLURAL,,Water Wheels
FURNITURE.WATERWHEEL.TOOLTIP,,Provides mechanical power to other contraptions via {{PRODUCT.STONE.GEAR.PLURAL}} and shafts. Must be built adjacent to a river.
FURNITURE.WATER_BARREL,,Water Barrel
FURNITURE.WATER_BARREL.TOOLTIP,,"A water barrel is a place for your settlers to get a thirst-quenching drink, rather than having to find a natural water source like the river."
FURNITURE.WATER_PUMP,,Water Pump
FURNITURE.WATER_PUMP.PLURAL,,Water Pumps
FURNITURE.WATER_PUMP.TOOLTIP,,Moves water from the river to a pipe system.
FURNITURE.WEAPON_RACK,,Weapon Rack
FURNITURE.WELL,,Well
FURNITURE.WELL.TOOLTIP,,"A well provides a source of water, but must be connected to a working pipe system."
FURNITURE.WINDMILL,,Windmill
FURNITURE.WINDMILL.PLURAL,,Windmills
FURNITURE.WINDMILL.TOOLTIP,,Provides mechanical power to other contraptions via {{PRODUCT.STONE.GEAR.PLURAL}} and shafts.
FURNITURE.WOODCUTTERS_BENCH,,Woodcutting Bench
FURNITURE.WOODCUTTERS_BENCH.TOOLTIP,,A {{PROFESSION.WOODCUTTER}} works here to turn {{RESOURCE.LOGS.PLURAL}} into {{RESOURCE.PLANKS.PLURAL}}.
FURNITURE.INVADER_CAMPFIRE,,Campfire

GEM.AMETHYST.ADJECTIVE,,Amethyst
GEM.AMETHYST.NOUN,,Amethyst
GEM.AMETHYST.TOOLTIP,,A violet-hued variety of quartz. Ancient humans believed it could magically protect them from becoming too drunk. For this reason it is not very popular in dwarven culture.
GEM.AMMOLITE.ADJECTIVE,,Ammolite
GEM.AMMOLITE.NOUN,,Ammolite
GEM.AMMOLITE.TOOLTIP,,An opal-like gemstone which has a red to green iridescence. It is known as the “hunting stone” and amulets made from it are meant to bring good luck to a hunt.
GEM.AQUAMARINE.ADJECTIVE,,Aquamarine
GEM.AQUAMARINE.NOUN,,Aquamarine
GEM.AQUAMARINE.TOOLTIP,,A cyan-coloured variety of beryl. Some humans believe it offers magical protection against the dangers of the seas. This is because an ancient mage used a combination of sky and ice magic to protect trading ships during the age of darkness.
GEM.BIXBITE.ADJECTIVE,,Bixbite
GEM.BIXBITE.NOUN,,Bixbite
GEM.BIXBITE.TOOLTIP,,"Also known as red beryl, it is a very rare gemstone. It is often confused for a red-coloured emerald."
GEM.CINNABAR.ADJECTIVE,,Cinnabar
GEM.CINNABAR.NOUN,,Cinnabar
GEM.CINNABAR.TOOLTIP,,An ore of mercury which is often used in jewellery due to its deep-red hue. It is also used to produce the dye known as vermillion.
GEM.CITRINE.ADJECTIVE,,Citrine
GEM.CITRINE.NOUN,,Citrine
GEM.CITRINE.TOOLTIP,,"A yellowish variety of quartz. It is the gemstone most similar in colour to gold, so most dwarves think citrine is lucky."
GEM.DIAMOND.ADJECTIVE,,Diamond
GEM.DIAMOND.NOUN,,Diamond
GEM.DIAMOND.TOOLTIP,,The hardest known material and one of the most important of the seven heavenly stones. Diamonds are the most condensed form of the neutral element known as “spirit” or “aether”.
GEM.EMERALD.ADJECTIVE,,Emerald
GEM.EMERALD.NOUN,,Emerald
GEM.EMERALD.TOOLTIP,,A vibrant green variety of beryl. It is thought that engraving on an emerald brings great misfortune. Emeralds are closely related to elemental life and associated magic.
GEM.GARNET.ADJECTIVE,,Garnet
GEM.GARNET.NOUN,,Garnet
GEM.GARNET.TOOLTIP,,"Garnets cover a variety of minerals used as gemstones, all with a deep red colour. Some garnet gems are actually a condensed form of elemental fire."
GEM.JADE.ADJECTIVE,,Jade
GEM.JADE.NOUN,,Jade
GEM.JADE.TOOLTIP,,"A mineral with a light-green colour often used for decoration. Also, elves have been known to use jade to produce medicine which can cure ailments of the gut."
GEM.JASPER.ADJECTIVE,,Jasper
GEM.JASPER.NOUN,,Jasper
GEM.JASPER.TOOLTIP,,"An impure variety of silica which can occur in several colours, but most commonly red. Jasper is favoured as a decoration material by orcs due to its variety."
GEM.LABRADORITE.ADJECTIVE,,Labradorite
GEM.LABRADORITE.NOUN,,Labradorite
GEM.LABRADORITE.TOOLTIP,,A rock which shines with a typically light-blue iridescence. Rarer specimens can reflect a wide range of colours.
GEM.LAPIS.ADJECTIVE,,Lapis lazuli
GEM.LAPIS.NOUN,,Lapis lazuli
GEM.LAPIS.TOOLTIP,,A rock with a brilliant deep blue hue which is used as a precious stone.
GEM.MAGNESITE.ADJECTIVE,,Magnesite
GEM.MAGNESITE.NOUN,,Magnesite
GEM.MAGNESITE.TOOLTIP,,A mineral which can be polished into beads for use in jewellery. These beads can by dyed into many different colours.
GEM.MOONSTONE.ADJECTIVE,,Moonstone
GEM.MOONSTONE.NOUN,,Moonstone
GEM.MOONSTONE.TOOLTIP,,"Thought to be formed by moonlight captured in rock, which makes this gemstone a favourite of the elves."
GEM.MORGANITE.ADJECTIVE,,Morganite
